,Unnamed: 0.1,Unnamed: 0,league_team1,season,window,team1,country_team1,dir,player_id,player_name,player_age,player_nation,player_pos,team2,country_team2,transfer_value,market_value,is_free,is_loan,is_loan_end,is_retired,transfer_id,league_team2
583,3413,3413,KOR,2010,w,Suwon Samsung Bluewings,"Korea, South",left,35185,Won-hee Cho,27,"Korea, South",midfielder,Wigan Athletic,England,0.0,1500000.0,False,True,True,False,375185,ENG1
584,3414,3414,ENG1,2010,w,Wigan Athletic,England,left,40822,Mauro Boselli,25,Argentina,striker,Genoa CFC,Italy,1000000.0,7500000.0,False,True,False,False,524035,ITA1
585,3415,3415,ENG1,2010,w,Wigan Athletic,England,left,21567,Rachid Bouaouzan,26,Netherlands,midfielder,Helsingborgs IF,Sweden,0.0,500000.0,True,False,False,False,496528,SWE
586,3416,3416,ENG1,2010,w,Wigan Athletic,England,left,35185,Won-hee Cho,27,"Korea, South",midfielder,Guangzhou Evergrande,China,0.0,1500000.0,True,False,False,False,540830,CHI
587,3417,3417,ENG1,2010,w,Wigan Athletic,England,left,126258,Lee Nicholls,18,England,goalkeeper,Hartlepool United,England,0 €,-,False,True,False,False,501006,ENG2
588,3418,3418,ENG1,2010,w,Wigan Athletic,England,left,126258,Lee Nicholls,18,England,goalkeeper,Sheffield Wednesday,England,0 €,-,False,True,False,False,557842,ENG2
589,3419,3419,ENG1,2010,w,Wigan Athletic,England,left,3219,Chris Kirkland,29,England,goalkeeper,Leicester City,England,0 €,5500000.0,False,True,False,False,504105,ENG2
590,3420,3420,ENG1,2010,w,Wigan Athletic,England,left,126258,Lee Nicholls,18,England,goalkeeper,Shrewsbury Town,England,0 €,-,False,True,False,False,535019,ENG2
591,3421,3421,NOR,2010,w,Aalesunds FK,Norway,left,22491,Anders Lindegaard,26,Denmark,goalkeeper,Manchester United,England,5000000.0,3200000.0,False,False,False,False,504391,ENG1
592,3422,3422,ENG2,2010,w,Preston North End,England,left,55687,Ritchie De Laet,22,Belgium,defender,Manchester United,England,0.0,1250000.0,False,True,True,False,502634,ENG1
593,3423,3423,ENG2,2010,w,Carlisle United,England,left,73492,Joe Dudgeon,20,Northern Ireland,defender,Manchester United,England,0.0,-,False,True,True,False,532573,ENG1
594,3424,3424,ENG1,2010,w,Manchester United,England,left,61887,Federico Macheda,19,Italy,striker,UC Sampdoria,Italy,465000.0,1500000.0,False,True,False,False,518271,ITA1
595,3425,3425,ENG1,2010,w,Manchester United,England,left,55687,Ritchie De Laet,21,Belgium,defender,Preston North End,England,0 €,1250000.0,False,True,False,False,502633,ENG2
596,3426,3426,ENG1,2010,w,Manchester United,England,left,55687,Ritchie De Laet,22,Belgium,defender,Portsmouth FC,England,NF,1250000.0,False,True,False,False,524369,ENG2
597,3427,3427,ENG1,2010,w,Manchester United,England,left,73492,Joe Dudgeon,20,Northern Ireland,defender,Carlisle United,England,0.0,-,False,True,False,False,532433,ENG2
