,team1,league_team1,season
512,ACD Guidonia Juniores,ITAJ,6
513,ACD Pro Dronero,ITA4,6
514,ACD Royale Fiore,ITA4,6
515,ACD Sammargheritese,ITA4,6
516,AC Savoia 1908,ITA3,6
517,AC Palmanova,ITA4,6
518,AC Palazzolo,ITA4,6
519,AC Nuova Bagnolese,ITA4,6
520,AC Ardor Lazzate 1973,ITA4,6
521,AC Castellana Castelgoffredo,ITA4,6
522,AC Cattolica Calcio,ITA4,6
523,AC Chioggia Sottomarina,ITA4,6
524,AC Cologna Veneta,ITA4,6
525,AC Crema Giovanili,ITA4,6
526,AC Este Juniores,ITAJ,6
527,AC Fanfulla 1874,ITA4,6
528,AC Fiorano,ITA4,6
529,AC Giaveno Coazze,ITA4,6
530,AC Martina 1947,ITA3,6
531,AC Massa Lombarda,ITA4,6
532,AC Monteriggioni,ITA4,6
533,AC Montesarchio,ITA4,6
534,AC Montichiari Juniores,ITAJ,6
535,ACD Torconca Cattolica,ITA4,6
536,ACN Siena 1904,ITA4,6
537,ACR Messina Youth,ITAJ,6
538,ASD Anzolavino Calcio,ITA4,6
539,ASD Arzignano Valchiampo,ITA4,6
540,ASD Asti,ITA4,6
541,ASD Atletico Ascoli,ITA4,6
542,ASD Borrello,ITA4,6
543,ASD Carbonia,ITA4,6
544,ASD Castel di Sangro,ITA4,6
545,ASD Castellana Calcio,ITA4,6
546,ASD Città Di Cerveteri,ITA4,6
547,ASD Città Di Comiso,ITA4,6
548,ASD Città Di Varese,ITA4,6
549,ASD Città di Acri,ITA4,6
550,ASD Comprensorio Vairano,ITA4,6
551,ASD Concordia Calcio,ITA4,6
552,ASD Cordenons,ITA4,6
553,ASD CreCas Città di Palombara,ITA4,6
554,ASD Diegaro,ITA4,6
555,ASD Dlf Serramanna,ITA4,6
556,ASD Donatello,ITA4,6
557,ASD Angelana 1930,ITA4,6
558,ASD Akragas 2018,ITA4,6
559,ASD  Meldola,ITA4,6
560,APD Leonfortese,ITA4,6
561,APD Trivento,ITA4,6
562,AS Calcio Boys Nola,ITA4,6
563,AS Calcio Figline,ITA3,6
564,AS Fidentina,ITA4,6
565,AS Fiumicino 1926,ITA4,6
566,AS Gualdo Calcio,ITA4,6
567,AS Guastalla,ITA4,6
568,AS Ischia Isolaverde,ITA4,6
569,AS Lodigiani,ITA4,6
570,AS Orceana Calcio,ITA4,6
571,AS Sambenedettese,ITA4,6
572,AS Sammartinese,ITA4,6
573,AS Sersale,ITA4,6
574,AS Sestese Juniores,ITAJ,6
575,ASC Arcetana,ITA4,6
576,ASD Adrense 1909,ITA4,6
577,W3 Maccarese,ITA4,6
578,Atletico Castagnato,ITA4,6
579,Bacoli Sibilla Flegrea,ITA4,6
580,Associazione Stresa Sportiva,ITA4,6
581,Athletic Carpi 2021,ITA4,6
582,Asd Puteolana 1902,ITA4,6
583,Atletico Palermo,ITA4,6
584,Aygreville Calcio,ITA4,6
585,Ascoli Under 18,ITAJ,6
586,Audace Calcio,ITA4,6
587,Barletta 1922,ITA4,6
588,Avellino Calcio SSD,ITA4,6
589,Atlantida Sport Club Youth,ITAJ,6
590,Atletico Racale,ITA4,6
591,Atletico Roma,ITA4,6
592,Bari Juniores,ITAJ,6
593,Athletic Club Liberi,ITA4,6
594,Atletico Campofranco,ITA4,6
595,Ascoli Satriano,ITA4,6
596,Baiso Secchia,ITA4,6
597,Atletico Mola,ITA4,6
598,Atletico Catania,ITA4,6
599,Assisi Subasio,ITA4,6
600,Maceratese Berretti,ITAJ,12
601,Atletico Arezzo,ITA4,12
602,SSD Jesina Calcio,ITA4,12
603,CastelnuovoSandrà,ITA4,12
604,Castellazzo Bormida,ITA4,12
605,SSD Monza 1912,ITA4,12
606,SSD Porto D'Ascoli,ITA4,12
607,Lazio Under 18,ITAJ,12
608,AP Turris Calcio,ITA4,12
609,Latina Under 17,ITAJ,12
610,SSD Riccione Calcio 1929,ITA4,12
611,AD Valdinievole Montecatini,ITA4,12
612,APD Tortona Villalvernia,ITA4,12
613,Legnano Youth,ITAJ,12
614,SS Villacidrese,ITA4,12
615,SS Turris Calcio,ITA3,12
616,Lumezzane Youth,ITAJ,12
617,Lucchese Primavera,ITAJ,12
618,Lucchese Giovanili,ITA4,12
619,ASD Quartieri Uniti,ITA4,12
620,Lucchese 1905,ITA3,12
621,ASD Real Formigine,ITA4,12
622,SSD Argentina Arma,ITA4,12
623,AS Avellino Youth,ITAJ,12
624,Livorno Berretti,ITAJ,12
625,Cattolica Calcio SM,ITA4,12
626,ASD Pontevecchio,ITA4,12
627,Castelvetro Youth,ITAJ,12
628,SS Portorecanati,ITA4,12
629,MSK Zilina Youth,ITAJ,12
630,AS Avellino 1912,ITA2,12
631,Catania Youth,ITAJ,12
632,SSD Ischia Calcio,ITA3,12
633,ASD San Luca,ITA4,12
634,Avellino Primavera,ITAJ,12
635,Santa Maria Cilento,ITA4,12
636,ACD Asti Calcio,ITA4,12
637,ASD Sporting Terni,ITA4,12
638,Camaiore Calcio,ITA4,12
639,Seregno Youth,ITAJ,12
640,Sestri Levante Juniores,ITAJ,12
641,Guspini Terralba,ITA4,12
642,Siena Under 17,ITAJ,12
643,AC Sporting Cecina,ITA4,12
644,Grumentum,ITA4,12
645,Sondrio Calcio,ITA4,12
646,Chiavari Calcio Caperana,ITA4,12
647,Sorrento FC,ITA4,12
648,Sorrento Juniores,ITAJ,12
649,Giulianova Youth,ITAJ,12
650,ASD Torviscosa,ITA4,12
651,Giorgione Calcio Juniores,ITAJ,12
652,ASD Union Qdp,ITA4,12
653,Cesena Berretti,ITAJ,12
654,Sant'Omero Palmense,ITA4,12
655,Sangiustese Youth,ITAJ,12
656,ACD Grifoponte Torgiano,ITA4,12
657,Lanciano Under 17,ITAJ,12
658,Ladispoli Giovanili,ITA4,12
659,CS Bosa,ITA4,12
660,SS Monza 1912,ITA3,12
661,ASD San Marco Assemini 80,ITA4,12
662,LR Vicenza Virtus,ITA3,12
663,LR Vicenza,ITA2,12
664,Salernitana Calcio 1919,ITA3,12
665,ASD Sambenedettese Calcio,ITA4,12
666,ACD Trissino Valdagno,ITA4,12
667,ACD San Tommaso,ITA4,12
668,San Luigi Calcio,ITA4,12
669,ASD San Sisto Calcio,ITA4,12
670,Avezzano Youth,ITAJ,12
671,Cavese Primavera,ITAJ,12
672,San Miniato basso calcio,ITA4,12
673,Cavese Youth,ITAJ,12
674,Sancolombano Calcio,ITA4,12
675,SandonàJesolo Calcio,ITA4,12
